BenchmarkName,Compiler,Optimization,Backend,Adapter,Ioq,NumKernels,KernelExecTime,MeasureCompletion,MedianTime
SubmitKernel,dpcpp,O2,sycl,v1,1,20,1,1,104.408
SubmitKernel,dpcpp,O2,sycl,v1,1,20,5,1,100.284
SubmitKernel,dpcpp,O2,sycl,v1,1,20,10,1,107.284
SubmitKernel,dpcpp,O2,sycl,v1,1,20,100,1,706.597
SubmitKernel,dpcpp,O2,sycl,v1,0,50,1,0,224.351
SubmitKernel,dpcpp,O2,sycl,v1,0,50,1,1,227.182
SubmitKernel,dpcpp,O2,sycl,v1,0,50,5,1,234.114
SubmitKernel,dpcpp,O2,sycl,v1,0,50,10,1,236.061
SubmitKernel,dpcpp,O2,sycl,v1,0,50,100,1,266.099
SubmitKernel,dpcpp,O2,sycl,v1,1,50,1,0,232.565
SubmitKernel,dpcpp,O2,sycl,v1,1,50,1,1,246.998
SubmitKernel,dpcpp,O2,sycl,v1,1,50,5,1,244.100
SubmitKernel,dpcpp,O2,sycl,v1,1,50,10,1,259.514
SubmitKernel,dpcpp,O2,sycl,v1,1,50,100,1,1761.367
SubmitKernel,dpcpp,O2,sycl,v1,0,100,1,0,447.436
SubmitKernel,dpcpp,O2,sycl,v1,0,100,1,1,455.615
SubmitKernel,dpcpp,O2,sycl,v1,0,100,5,1,465.103
SubmitKernel,dpcpp,O2,sycl,v1,0,100,10,1,466.377
SubmitKernel,dpcpp,O2,sycl,v1,0,100,100,1,488.224
SubmitKernel,dpcpp,O2,sycl,v1,1,100,1,0,462.557
SubmitKernel,dpcpp,O2,sycl,v1,1,100,1,1,477.893
SubmitKernel,dpcpp,O2,sycl,v1,1,100,5,1,481.297
SubmitKernel,dpcpp,O2,sycl,v1,1,100,10,1,504.085
SubmitKernel,dpcpp,O2,sycl,v1,1,100,100,1,3502.657
SubmitKernel,dpcpp,O2,sycl,v2,0,1,1,0,4.237
SubmitKernel,dpcpp,O2,sycl,v2,0,1,1,1,6.543
SubmitKernel,dpcpp,O2,sycl,v2,0,1,5,1,8.643
SubmitKernel,dpcpp,O2,sycl,v2,0,1,10,1,10.002
SubmitKernel,dpcpp,O2,sycl,v2,0,1,100,1,39.462
SubmitKernel,dpcpp,O2,sycl,v2,1,1,1,0,4.422
SubmitKernel,dpcpp,O2,sycl,v2,1,1,1,1,6.946
SubmitKernel,dpcpp,O2,sycl,v2,1,1,5,1,7.948
SubmitKernel,dpcpp,O2,sycl,v2,1,1,10,1,10.032
SubmitKernel,dpcpp,O2,sycl,v2,1,1,100,1,40.232
SubmitKernel,dpcpp,O2,sycl,v2,0,10,1,0,40.071
SubmitKernel,dpcpp,O2,sycl,v2,0,10,1,1,44.237
SubmitKernel,dpcpp,O2,sycl,v2,0,10,5,1,45.386
SubmitKernel,dpcpp,O2,sycl,v2,0,10,10,1,52.598
SubmitKernel,dpcpp,O2,sycl,v2,0,10,100,1,359.419
SubmitKernel,dpcpp,O2,sycl,v2,1,10,1,0,42.405
SubmitKernel,dpcpp,O2,sycl,v2,1,10,1,1,44.196
SubmitKernel,dpcpp,O2,sycl,v2,1,10,5,1,46.224
SubmitKernel,dpcpp,O2,sycl,v2,1,10,10,1,52.784
SubmitKernel,dpcpp,O2,sycl,v2,1,10,100,1,359.519
SubmitKernel,dpcpp,O2,sycl,v2,0,20,1,0,79.673
SubmitKernel,dpcpp,O2,sycl,v2,0,20,1,1,83.572
SubmitKernel,dpcpp,O2,sycl,v2,0,20,5,1,84.945
SubmitKernel,dpcpp,O2,sycl,v2,0,20,10,1,100.007
SubmitKernel,dpcpp,O2,sycl,v2,0,20,100,1,710.913
SubmitKernel,dpcpp,O2,sycl,v2,1,20,1,0,82.083
SubmitKernel,dpcpp,O2,sycl,v2,1,20,1,1,84.251
SubmitKernel,dpcpp,O2,sycl,v2,1,20,5,1,86.783
SubmitKernel,dpcpp,O2,sycl,v2,1,20,10,1,100.331
SubmitKernel,dpcpp,O2,sycl,v2,1,20,100,1,711.050
SubmitKernel,dpcpp,O2,sycl,v2,0,50,1,0,203.155
SubmitKernel,dpcpp,O2,sycl,v2,0,50,1,1,201.864
SubmitKernel,dpcpp,O2,sycl,v2,0,50,5,1,206.429
SubmitKernel,dpcpp,O2,sycl,v2,0,50,10,1,242.535
SubmitKernel,dpcpp,O2,sycl,v2,0,50,100,1,1770.041
SubmitKernel,dpcpp,O2,sycl,v2,1,50,1,0,206.206
